,Trump,Clinton,trumpProp
0,67,76,0.6208309236440906
1,73,72,0.5128151207753728
2,78,81,0.4867161647232105
3,70,86,0.6057190565643916
4,73,67,0.31617114678988356
5,77,73,0.4325097734122184
6,91,100,0.40926914378814777
7,84,78,0.41712744528113127
8,100,100,0.040874744593083774
9,92,87,0.49021941416590736
10,71,73,0.50771326054771
11,59,63,0.3003867700851174
12,62,70,0.5926143236919689
13,70,73,0.3876175307382527
14,75,78,0.5694003344841128
15,79,97,0.5114732722404601
16,66,66,0.5665458180583958
17,77,77,0.6251963855190009
18,63,69,0.580886846535688
19,88,82,0.4486975333154171
20,80,85,0.3390930472854767
21,87,91,0.3280835814000769
22,89,92,0.47497564219996147
23,90,80,0.4492478809350543
24,56,93,0.5794103808883564
25,74,79,0.5677234783816165
26,73,68,0.5616849744642932
27,71,73,0.5874735112712576
28,80,74,0.4550069531760242
29,99,88,0.46458666981953417
30,97,100,0.4135038665002945
31,81,72,0.40042514333242724
32,92,92,0.36515627521387845
33,82,86,0.49828094696180414
34,75,76,0.629556278313393
35,78,82,0.5168765067578619
36,70,75,0.6532286481962736
37,82,70,0.39094035184496756
38,99,98,0.48183336312285924
39,89,87,0.3889805749939674
40,66,73,0.5493933268569543
41,71,72,0.615307503789588
42,70,83,0.6072203369421462
43,64,68,0.5223468557933538
44,61,67,0.4553803593682331
45,91,91,0.3026943475514732
46,77,75,0.44406696630127107
47,81,74,0.3683268018663746
48,76,75,0.6849877453553427
49,74,69,0.4721818456731012
50,63,63,0.6817263307654124
