,timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
12,1533475800,Aug 05 2018 - 1:30pm,complete,22930.0,Krylya Sovetov,Orenburg,,1.0,0.0,1.13,1.2,0,3,3,3,0,3,,"26,38,45'1",14,3,1,0,4,0,0,1,2,2,23,12,7,8,16,4,4,16,66,34,2.35,1.45,0.5,0,0,0,0,0,0,50,3.0,5.0,2.35,2.9,3.45,1.62,2.95,6.1,0.0,2.45,1.54,Samara Arena
13,1533484800,Aug 05 2018 - 4:00pm,complete,19084.0,CSKA Moskva,Rostov,,0.0,0.0,1.8,1.13,0,1,1,1,0,1,,7,3,2,3,0,1,0,0,3,0,1,8,4,3,2,5,2,17,15,60,40,1.18,0.58,0.0,0,0,0,0,0,0,0,0.0,0.0,1.87,3.15,4.65,1.56,2.7,5.5,0.0,2.45,1.56,VEB Arena
14,1533493800,Aug 05 2018 - 6:30pm,complete,14823.0,Akhmat Grozny,Yenisey,,0.0,0.0,1.47,0.27,1,0,1,0,0,0,60,,6,2,3,0,2,1,0,3,2,1,17,8,5,0,12,8,16,10,61,39,1.98,0.7,0.0,0,0,0,0,0,0,0,0.0,0.0,1.77,3.35,5.05,1.47,2.4,4.7,0.0,2.35,1.59,Akhmat Arena
15,1533565800,Aug 06 2018 - 2:30pm,complete,5612.0,Ufa,Anzhi Makhachkala,,1.0,3.0,1.13,0.73,3,0,3,1,1,0,"3,87,89",,3,3,0,0,1,0,0,0,1,0,8,6,5,2,3,4,11,13,47,53,1.28,0.75,0.5,0,0,0,0,0,0,0,8.0,7.0,1.59,3.5,6.45,1.51,2.55,5.1,0.0,2.65,1.48,Stadion Neftyanik (Ufa)
16,1533911400,Aug 10 2018 - 2:30pm,complete,16271.0,Ural,Dinamo Moskva,,0.0,1.0,1.33,0.8,1,1,2,0,0,0,54,85,4,3,1,0,1,0,1,0,0,1,12,13,4,3,8,10,14,9,50,50,1.35,1.39,1.0,25,25,25,0,0,0,25,6.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ekaterinburg Arena
17,1533994200,Aug 11 2018 - 1:30pm,complete,11209.0,Yenisey,CSKA Moskva,,0.0,1.0,1.07,1.6,1,1,2,0,0,0,58,79,1,3,2,0,0,1,0,2,0,1,8,10,3,4,5,6,13,15,49,51,1.01,1.16,1.0,0,50,0,0,0,0,0,6.0,3.0,4.4,3.25,1.91,1.51,2.6,5.2,0.0,2.4,1.57,Central'nyj Stadion
18,1534003200,Aug 11 2018 - 4:00pm,complete,27856.0,Spartak Moskva,Anzhi Makhachkala,,3.0,1.5,1.6,0.73,1,0,1,0,0,0,70,,12,0,0,0,4,2,0,0,2,4,27,2,9,0,18,2,11,14,78,22,2.99,0.18,1.5,0,25,25,0,0,0,75,4.5,2.5,1.24,5.55,13.25,1.27,1.87,3.2,0.0,2.75,1.44,Otkrytiye Arena
19,1534012200,Aug 11 2018 - 6:30pm,complete,30986.0,Rostov,Krylya Sovetov,,3.0,0.0,1.6,0.73,0,1,1,1,0,1,,45'2,6,1,1,0,0,0,0,1,0,0,18,6,5,4,13,2,11,7,63,37,2.0,0.8,0.5,0,0,0,0,0,0,50,2.0,0.0,1.71,3.25,5.65,1.62,2.95,6.1,0.0,2.85,1.42,Rostov Arena
20,1534071600,Aug 12 2018 - 11:00am,complete,7023.0,Orenburg,Lokomotiv Moskva,,0.0,1.0,1.67,1.6,1,0,1,0,0,0,90'1,,2,10,2,0,3,0,0,2,2,1,8,19,5,4,3,15,14,11,36,64,1.09,1.97,0.0,0,0,0,0,0,0,0,5.0,0.0,3.55,2.9,2.3,1.65,3.0,6.2,0.0,2.5,1.53,Stadion Gazovik
21,1534080600,Aug 12 2018 - 1:30pm,complete,11554.0,Arsenal Tula,Akhmat Grozny,,1.0,0.0,1.93,1.33,3,1,4,1,0,1,"53,57,90'4",39,3,4,2,1,7,0,3,0,3,4,15,11,7,4,8,7,16,18,45,55,1.55,1.44,0.5,0,0,0,0,0,0,50,8.0,5.0,2.65,2.85,2.95,1.59,2.8,5.7,0.0,2.35,1.59,Stadion Arsenal
22,1534170600,Aug 13 2018 - 2:30pm,complete,7016.0,Ufa,Krasnodar,,2.0,1.5,1.13,1.73,0,1,1,0,0,0,,86,3,6,2,0,1,1,2,0,1,1,10,22,5,7,5,15,11,7,40,60,1.24,2.3,2.25,50,75,75,0,0,25,75,10.5,3.5,3.4,3.0,2.3,1.56,2.7,5.5,0.0,2.35,1.61,Stadion Neftyanik (Ufa)
23,1534179600,Aug 13 2018 - 5:00pm,complete,23840.0,Rubin Kazan,Zenit,,3.0,3.0,1.67,1.6,0,1,1,0,0,0,,78,3,3,2,0,2,1,1,1,0,3,16,10,5,3,11,7,13,8,56,44,1.65,1.19,2.5,50,100,50,0,0,50,50,9.0,3.0,3.9,3.0,2.1,1.57,2.75,5.55,0.0,2.4,1.57,Kazan' Arena
24,1534523400,Aug 17 2018 - 4:30pm,complete,6253.0,Anzhi Makhachkala,Orenburg,,0.0,1.5,0.67,1.2,1,3,4,1,1,0,12,"69,77,83",4,8,4,0,3,0,0,4,2,1,5,19,4,6,1,13,11,13,41,59,0.77,1.92,1.0,0,25,25,0,0,25,50,2.0,3.5,4.3,3.1,1.95,1.51,2.55,5.1,0.0,2.35,1.59,Anzhi-Arena
25,1534599000,Aug 18 2018 - 1:30pm,complete,15948.0,CSKA Moskva,Arsenal Tula,,0.0,0.0,1.8,1.13,3,0,3,1,1,0,"10,77,82",,5,3,1,0,3,1,0,1,2,2,25,13,8,4,17,9,15,20,52,48,2.7,1.64,1.0,0,0,0,0,0,0,50,3.0,4.0,1.62,3.6,5.9,1.38,2.2,4.05,0.0,2.2,1.67,VEB Arena
26,1534608000,Aug 18 2018 - 4:00pm,complete,34302.0,Krasnodar,Spartak Moskva,,0.0,1.0,2.0,1.67,0,1,1,0,0,0,,88,5,7,2,1,2,0,1,2,0,2,20,7,5,6,15,1,12,12,58,42,2.12,1.3,0.0,0,0,0,0,0,0,0,5.0,5.0,2.65,3.2,2.65,1.34,2.05,3.7,0.0,1.91,1.91,Stadion FK Krasnodar
27,1534617000,Aug 18 2018 - 6:30pm,complete,10732.0,Akhmat Grozny,Rubin Kazan,,3.0,1.0,1.47,0.73,1,1,2,0,0,0,90'4,83,2,5,1,0,2,0,0,1,1,1,14,8,7,3,7,5,15,15,45,55,1.95,1.33,1.5,50,50,0,0,0,0,50,10.0,3.0,2.85,2.8,2.85,1.57,2.75,5.55,0.0,2.3,1.61,Akhmat Arena
28,1534685400,Aug 19 2018 - 1:30pm,complete,31652.0,Krylya Sovetov,Lokomotiv Moskva,,0.5,0.5,1.13,1.6,0,1,1,1,0,1,,37,4,3,2,0,1,1,0,2,0,2,15,15,5,4,10,11,13,14,57,43,1.62,1.54,1.0,0,25,25,0,0,25,25,15.5,3.0,4.25,3.0,2.0,1.57,2.75,5.55,0.0,2.45,1.56,Samara Arena
29,1534694400,Aug 19 2018 - 4:00pm,complete,45545.0,Zenit,Ural,,3.0,0.0,2.67,1.2,4,1,5,3,2,1,"12,16,78,89",6,8,3,1,0,3,0,0,1,1,2,15,10,8,3,7,7,10,21,48,52,1.92,1.17,0.5,0,0,0,0,0,0,0,13.0,2.0,1.41,4.25,8.25,1.33,2.05,3.65,0.0,2.35,1.61,Saint-Petersburg Stadium
30,1534703400,Aug 19 2018 - 6:30pm,complete,21850.0,Rostov,Yenisey,,1.5,0.0,1.6,0.27,4,0,4,2,2,0,"31,35,58,83",,0,5,2,0,1,0,0,2,0,1,10,14,6,5,4,9,13,5,40,60,1.31,1.53,1.0,0,0,0,0,0,0,50,6.0,4.5,1.61,3.5,6.4,1.53,2.65,5.3,0.0,2.7,1.45,Rostov Arena
31,1534782600,Aug 20 2018 - 4:30pm,complete,6125.0,Dinamo Moskva,Ufa,,1.0,0.0,1.4,0.6,3,0,3,0,0,0,"63,84,90'4",,1,5,2,0,1,0,0,2,0,1,20,8,6,3,14,5,9,8,54,46,2.05,0.98,1.0,50,50,0,0,0,0,50,4.0,3.0,1.69,3.25,6.1,1.51,2.6,5.2,0.0,2.6,1.5,Arena Khimki
32,1535128200,Aug 24 2018 - 4:30pm,complete,12289.0,Arsenal Tula,Rostov,,2.0,3.0,1.93,1.13,0,1,1,0,0,0,,65,8,7,0,0,2,0,0,0,0,2,8,10,3,3,5,7,7,14,55,45,1.08,1.12,1.5,25,25,25,25,0,0,75,5.5,4.0,3.2,2.85,2.5,1.59,2.8,5.7,0.0,2.35,1.59,Stadion Arsenal
33,1535194800,Aug 25 2018 - 11:00am,complete,18106.0,Ural,Akhmat Grozny,,0.33,0.0,1.33,1.33,2,1,3,1,0,1,"50,78",29,0,2,2,0,2,0,1,1,1,1,8,14,5,6,3,8,15,8,56,44,1.22,1.5,2.25,59,59,42,25,0,0,67,8.67,5.83,2.5,2.95,3.1,1.56,2.7,5.5,0.0,2.3,1.62,Ekaterinburg Arena
34,1535203800,Aug 25 2018 - 1:30pm,complete,26531.0,Rubin Kazan,CSKA Moskva,,1.5,1.0,1.67,1.6,1,1,2,1,1,0,10,67,1,4,1,0,3,0,0,1,1,2,11,14,8,4,3,10,14,16,40,60,1.47,1.49,1.5,50,50,25,0,0,25,25,6.5,3.0,2.65,2.9,2.9,1.61,2.85,5.85,0.0,2.4,1.59,Kazan' Arena
35,1535212800,Aug 25 2018 - 4:00pm,complete,43139.0,Spartak Moskva,Dinamo Moskva,,3.0,1.0,1.6,0.8,2,1,3,2,2,0,"7,14",82,11,4,3,0,3,0,1,2,2,1,19,13,13,7,6,6,17,13,51,49,2.55,1.7,1.0,25,25,0,0,0,0,25,9.5,2.0,1.61,3.8,5.7,1.38,2.2,4.1,0.0,2.25,1.65,Otkrytiye Arena
