,timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
0,1500120000,Jul 15 2017 - 12:00pm,complete,6846.0,Ural,Rostov,,0.0,0.0,1.33,0.93,1,1,2,1,1,0,41,60,6,2,0,0,2,0,0,0,0,2,6,8,3,3,3,5,12,13,50,50,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SKB-Bank Arena (Ekaterinburg)
1,1500129000,Jul 15 2017 - 2:30pm,complete,4053.0,Tosno,Ufa,,0.0,0.0,0.73,0.87,0,1,1,0,0,0,,65,6,5,1,0,2,0,0,1,0,2,11,5,5,4,6,1,14,19,56,44,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Petrovskiy
2,1500138000,Jul 15 2017 - 5:00pm,complete,9400.0,Anzhi Makhachkala,CSKA Moskva,,0.0,0.0,1.13,1.93,1,3,4,1,0,1,64,"21,49,79",1,4,3,0,1,0,1,2,0,1,10,10,4,5,6,5,9,13,37,63,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anzhi-Arena
3,1500192000,Jul 16 2017 - 8:00am,complete,14200.0,SKA Khabarovsk,Zenit,,0.0,0.0,0.67,1.53,0,2,2,0,0,0,,"52,81",7,5,1,0,4,0,1,0,2,2,9,15,5,4,4,11,9,16,45,55,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion imeni V.I. Lenina
4,1500215400,Jul 16 2017 - 2:30pm,complete,11934.0,Rubin Kazan,Krasnodar,,0.0,0.0,1.33,1.93,1,2,3,2,0,2,72,"17,33",4,3,3,0,2,0,1,2,1,1,11,8,3,4,8,4,14,12,43,57,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kazan' Arena
5,1500229800,Jul 16 2017 - 6:30pm,complete,29450.0,Akhmat Grozny,Amkar Perm,,0.0,0.0,1.53,1.47,1,0,1,1,1,0,39,,9,4,2,0,4,0,0,2,1,3,11,7,6,2,5,5,11,22,62,38,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Akhmat Arena
6,1500395400,Jul 18 2017 - 4:30pm,complete,6166.0,Lokomotiv Moskva,Arsenal Tula,,0.0,0.0,2.07,0.93,1,0,1,0,0,0,57,,5,3,1,0,2,0,1,0,0,2,8,9,5,3,3,6,18,11,44,56,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RZD Arena
7,1500395400,Jul 18 2017 - 4:30pm,complete,17133.0,Dinamo Moskva,Spartak Moskva,,0.0,0.0,1.47,1.6,2,2,4,2,0,2,"54,90'2","29,32",2,3,1,0,1,0,1,0,0,1,12,12,4,2,8,10,11,12,46,54,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arena Khimki
8,1500654600,Jul 21 2017 - 4:30pm,complete,6207.0,Anzhi Makhachkala,Amkar Perm,,0.0,0.0,1.13,1.47,1,0,1,1,1,0,23,,3,2,2,0,5,0,2,0,1,4,12,8,5,3,7,5,13,21,56,44,0.0,0.0,2.5,50,50,50,50,0,0,100,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anzhi-Arena
9,1500654600,Jul 21 2017 - 4:30pm,complete,14500.0,CSKA Moskva,Lokomotiv Moskva,,0.0,0.0,1.93,1.93,1,3,4,2,1,1,42,"23,66,74",7,2,1,0,5,0,0,1,0,5,23,7,8,2,15,5,5,17,59,41,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEB Arena
10,1500733800,Jul 22 2017 - 2:30pm,complete,38284.0,Zenit,Rubin Kazan,,0.0,0.0,2.0,1.2,2,1,3,1,0,1,"51,90'1",45'1,5,2,0,0,2,0,0,0,1,1,7,7,3,2,4,5,12,14,69,31,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Krestovskyi (Sankt-Peterburg (St. Petersburg))
11,1500742800,Jul 22 2017 - 5:00pm,complete,17250.0,Krasnodar,Tosno,,0.0,0.0,1.67,0.87,2,0,2,0,0,0,"58,66",,10,3,1,0,1,0,1,0,0,1,19,10,9,2,10,8,8,9,65,35,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion FK Krasnodar
12,1500811200,Jul 23 2017 - 12:00pm,complete,12571.0,Ufa,Spartak Moskva,,0.0,1.0,2.0,1.6,0,0,0,0,0,0,,,0,5,1,0,1,0,0,1,0,1,10,23,4,14,6,9,18,11,47,53,0.0,0.0,2.0,50,50,50,50,0,50,50,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Neftyanik (Ufa)
13,1500820200,Jul 23 2017 - 2:30pm,complete,6853.0,Dinamo Moskva,Ural,,1.0,0.0,1.47,1.13,0,1,1,0,0,0,,89,5,3,0,0,2,0,0,0,0,2,10,10,5,3,5,7,12,11,50,50,0.0,0.0,2.0,50,50,50,50,0,50,50,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arena Khimki
14,1500829200,Jul 23 2017 - 5:00pm,complete,10305.0,Rostov,Akhmat Grozny,,0.0,0.0,1.53,1.07,0,1,1,0,0,0,,54,8,5,1,0,4,0,0,1,2,2,14,4,7,2,7,2,10,19,57,43,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Olimp 2 (Rostov-na-Donu)
15,1500913800,Jul 24 2017 - 4:30pm,complete,12700.0,Arsenal Tula,SKA Khabarovsk,,0.0,0.0,1.87,0.2,1,0,1,1,1,0,18,,3,4,2,0,2,0,0,2,2,0,12,7,8,3,4,4,20,15,46,54,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Arsenal
16,1501329600,Jul 29 2017 - 12:00pm,complete,6280.0,Ural,Ufa,,1.0,3.0,1.33,0.87,1,1,2,1,0,1,88,17,12,2,2,0,1,0,0,2,1,0,18,8,9,4,9,4,15,20,58,42,0.0,0.0,1.5,50,50,0,0,0,0,50,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SKB-Bank Arena (Ekaterinburg)
17,1501329600,Jul 29 2017 - 12:00pm,complete,8500.0,CSKA Moskva,SKA Khabarovsk,,0.0,0.0,1.93,0.2,2,0,2,2,2,0,"4,37",,8,0,0,0,2,0,0,0,2,0,15,5,7,2,8,3,11,9,69,31,0.0,0.0,2.5,50,50,50,50,0,50,100,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEB Arena
18,1501338600,Jul 29 2017 - 2:30pm,complete,7220.0,Rubin Kazan,Arsenal Tula,,0.0,0.0,1.33,0.93,2,1,3,1,0,1,"60,74",34,6,3,2,0,2,0,0,2,0,2,9,8,3,3,6,5,17,10,58,42,0.0,0.0,2.0,50,50,50,0,0,50,50,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kazan' Arena
19,1501347600,Jul 29 2017 - 5:00pm,complete,17324.0,Akhmat Grozny,Dinamo Moskva,,3.0,0.0,1.53,1.2,2,0,2,0,0,0,"80,83",,4,5,2,0,2,0,0,2,1,1,9,9,7,4,2,5,11,14,56,44,0.0,0.0,0.5,0,0,0,0,0,0,50,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Akhmat Arena
20,1501416000,Jul 30 2017 - 12:00pm,complete,4900.0,Amkar Perm,Rostov,,0.0,1.0,0.87,0.93,0,1,1,0,0,0,,66,0,4,1,0,1,0,0,1,0,1,5,11,2,6,3,5,13,17,53,47,0.0,0.0,1.0,50,50,0,0,0,0,50,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadion Zvezda
