,timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
0,1562950800,Jul 12 2019 - 5:00pm,complete,14742.0,Arsenal Tula,Dinamo Moskva,Sergey Lapochkin,0.0,0.0,1.0,1.67,1,1,2,1,0,1,84,16,4,4,0,0,3,0,0,0,1,2,14,11,3,7,11,4,15,17,53,47,1.54,1.5,0.0,0,0,0,0,0,0,0,0.0,0.0,2.95,2.95,2.6,1.53,2.65,5.25,10.75,2.15,1.65,Stadion Arsenal (Tula)
1,1563024600,Jul 13 2019 - 1:30pm,complete,14614.0,Ural,Ufa,Sergey Karasev,0.0,0.0,1.13,1.13,3,2,5,1,1,0,"14,49,81","76,86",8,4,0,0,1,0,0,0,0,1,12,13,9,5,3,8,13,9,47,53,1.74,1.54,0.0,0,0,0,0,0,0,0,0.0,0.0,2.1,3.25,3.6,0.0,2.03,0.0,0.0,2.38,1.57,Ekaterinburg Arena (Ekaterinburg)
2,1563033600,Jul 13 2019 - 4:00pm,complete,29892.0,Spartak Moskva,FK Sochi,Vladimir Moskalev,0.0,0.0,1.07,0.8,1,0,1,0,0,0,90'3,,7,5,4,0,2,0,1,3,1,1,8,17,6,7,2,10,13,10,60,40,1.31,1.92,0.0,0,0,0,0,0,0,0,0.0,0.0,1.35,4.7,7.75,0.0,0.0,0.0,0.0,2.05,1.65,Otkrytiye Arena (Moskva)
3,1563042600,Jul 13 2019 - 6:30pm,complete,14584.0,Rostov,Orenburg,Vladislav Bezborodov,0.0,0.0,1.8,0.93,2,1,3,2,2,0,"11,42",49,5,0,2,0,3,0,1,1,1,2,10,8,5,2,5,6,16,18,55,45,1.42,0.95,0.0,0,0,0,0,0,0,0,0.0,0.0,1.65,3.5,5.75,1.51,2.6,5.15,10.5,2.5,1.49,Rostov Arena (Rostov-na-Donu)
4,1563111000,Jul 14 2019 - 1:30pm,complete,25287.0,Krylya Sovetov,CSKA Moskva,Kirill Levnikov,0.0,0.0,0.93,1.67,2,0,2,0,0,0,"51,58",,2,5,1,0,3,0,1,0,1,2,7,11,7,3,0,8,14,14,31,69,1.32,1.66,0.0,0,0,0,0,0,0,0,0.0,0.0,4.5,3.2,1.87,1.49,2.5,4.85,9.75,2.2,1.61,Samara Arena (Samara)
5,1563120000,Jul 14 2019 - 4:00pm,complete,46231.0,Zenit,Tambov,Aleksey Eskov,0.0,0.0,2.33,0.8,2,1,3,0,0,0,"46,48",71,2,1,2,0,2,0,0,2,0,2,11,7,7,4,4,3,16,14,64,36,1.8,0.98,0.0,0,0,0,0,0,0,0,0.0,0.0,1.18,6.75,14.5,1.18,1.59,2.5,4.4,2.3,1.56,Saint-Petersburg Stadium (Sankt-Peterburg (St. Petersburg))
6,1563129000,Jul 14 2019 - 6:30pm,complete,27535.0,Akhmat Grozny,Krasnodar,Vitaly Meshkov,0.0,0.0,0.93,1.53,1,0,1,1,1,0,28,,4,4,4,0,3,0,2,2,1,2,11,12,7,4,4,8,24,21,38,62,1.78,1.73,0.0,0,0,0,0,0,0,0,0.0,0.0,3.4,3.2,2.2,1.39,2.2,4.15,8.25,1.91,1.8,Akhmat Arena (Groznyi)
7,1563210000,Jul 15 2019 - 5:00pm,complete,10732.0,Lokomotiv Moskva,Rubin Kazan,Mikhail Vilkov,0.0,0.0,1.73,1.13,1,1,2,0,0,0,66,76,3,5,2,0,3,0,1,1,1,2,13,8,5,6,8,2,19,12,49,51,1.49,1.23,0.0,0,0,0,0,0,0,0,0.0,0.0,1.42,4.1,8.25,1.4,2.25,4.25,8.25,2.5,1.49,RZD Arena (Moskva)
8,1563620400,Jul 20 2019 - 11:00am,complete,6725.0,Ufa,Krasnodar,Aleksey Eskov,0.0,0.0,1.4,1.53,2,3,5,2,2,0,"28,40","49,73,87",6,2,2,0,2,0,0,2,1,1,10,21,5,6,5,15,11,14,26,74,1.26,2.21,0.5,0,0,0,0,0,0,50,4.0,3.0,4.25,3.25,1.95,1.42,2.25,4.3,8.5,2.0,1.74,Stadion Neftyanik (Ufa)
9,1563629400,Jul 20 2019 - 1:30pm,complete,15780.0,Krylya Sovetov,Arsenal Tula,Pavel Kukuyan,3.0,0.0,0.93,1.53,2,3,5,3,1,2,"43,56","22,24,52",5,9,3,0,5,0,0,3,0,5,10,15,5,8,5,7,17,16,45,55,1.17,1.87,1.0,0,50,0,0,0,0,0,2.0,1.0,2.3,3.05,3.3,1.5,2.5,4.95,10.0,2.1,1.67,Samara Arena (Samara)
